orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,original_index,exoplanet_probability
-0.2972605801221739,-0.0282570513534755,-0.1966754619821847,-0.2994047651338641,-0.3099296274018161,-0.0613600074659868,0.1554320964161614,-0.0742378710134924,-0.0509592998995871,4070,0.9831147907946455
0.3928668593670722,-0.0281056037883432,0.5904157054812319,-0.2978577798578211,-0.8307828335244912,-0.0629576842259502,0.2609895287841848,-0.0729553256164926,-0.0221511538894825,5078,0.9831147907946455
0.9608023258381556,-0.0278216396037202,0.4285668810857929,-0.2852777726213517,-1.0391241159735611,-0.0630553421941535,-0.6160967728919374,-0.1458771924744784,0.4771900436189766,5778,0.9831147907946455
-0.0921672270770507,-0.027827949918934,0.4272608486928165,-0.2913861178026071,-0.7481256942919797,-0.062870856032431,0.1304821578564467,-0.1420295562834792,0.5588131239809383,6672,0.9831147907946455
-0.3479580180422537,-0.0280328018710305,-0.5006213381439107,-0.2962365749603395,-0.2672810676577686,-0.0610700433723572,-0.1669978788170739,-0.1344658364150587,0.3574921969469971,9301,0.9831147907946455
-0.3347283046666496,-0.0279819184549942,-0.2193243781641818,-0.2959089635515694,0.0218312191067573,-0.0594943222820009,0.4471544549605171,-0.0586641054784954,-0.1033661188496327,9474,0.9831147907946455
-0.3616227390571383,-0.0248450323657734,-0.3319076768498753,-0.1412746262076827,0.0512707481484737,-0.0591785583515429,-0.26391879399135,-0.1026370905184868,0.0882800724825794,10794,0.9831147907946455
-0.3691467382182402,-0.0248576529962011,-0.4353983449515554,-0.1446125197493523,0.0478738794128911,-0.059211636663341,-0.2965456367232845,-0.1008048828084872,0.0402664957990745,10864,0.9831147907946455
-0.359641025879102,-0.0246726661057072,-0.3529033874711426,-0.1058416024576514,0.058064485619639,-0.0591006599722368,-0.1756343960108213,-0.1136303367784847,0.2323208025330981,10871,0.9831147907946455
-0.3672933424636086,-0.0244512686964295,-0.4097736587602448,-0.0810641619367962,-0.0234603640343448,-0.0599378015553115,-0.4587202373614297,-0.1154625444884843,0.1843072258495912,11213,0.9831147907946455
-0.3593477424616977,-0.025074459935125,-0.4354925115402945,-0.1267933964655059,-0.1359562097898157,-0.0599294321534389,-0.3675570003163185,-0.1187354171208567,0.2323208025330981,11649,0.9831147907946455
-0.3676014142705225,-0.024770539094674,-0.4236605854703744,-0.1570911063743633,0.0739165397190248,-0.0589204867207832,-0.1343710360851394,-0.0934760519684887,0.0402664957990745,11695,0.9831147907946455
-0.3643661984901035,-0.024692133428142,-0.4268016760357608,-0.1294122660826722,-0.0042114411993764,-0.0597507029479416,-0.1621998137094365,-0.0843150134184904,-0.0557606575679372,11709,0.9831147907946455
-0.3660332231707202,-0.0245681999100956,-0.3931550578418435,-0.1030197632075198,-0.0091467171372434,-0.0584214271533336,-0.334930157584384,-0.1091469245121156,0.1362936491660863,11851,0.9831147907946455
-0.3632413821825189,-0.0243707843805144,-0.3917226544158048,-0.1317789928675392,0.023327419988544,-0.0579605636416562,-0.2351304033455254,-0.0934174213217687,0.0017115937222183,12441,0.9831147907946455
-0.3443083881855034,-0.0280608573431618,-0.5188852257684059,-0.2941758265203179,-0.3925867666343276,-0.0622018182019186,-0.3071013799600869,-0.1411134524284794,0.535478525712753,12582,0.9831147907946455
-0.3744547669136407,-0.02445880952311,-0.494748424581752,-0.081320922978463,0.0976946208681035,-0.0586465124208823,-0.2591207288837126,-0.1117981290684851,0.1843072258495912,12999,0.9831147907946455
-0.3706374011740619,-0.0243536481200713,-0.4808614978716224,-0.072976189124289,-0.007608309934959,-0.0597824702870147,-0.2744745372281524,-0.1154625444884843,0.2323208025330981,13333,0.9831147907946455
-0.2564179530868464,-0.0280498507020564,-0.0808013419034694,-0.2956913141619345,-0.4745555238502937,-0.0622029810945744,0.4087699340994177,-0.1102883899154454,0.3833475079910648,13503,0.9831147907946455
-0.3703575188064841,-0.0244397523711642,-0.4396966794094527,-0.0992941958951456,0.1226049915957097,-0.0583289340281746,-0.1689171048601289,-0.1063015059384861,0.1603004375078388,13876,0.9831147907946455
-0.3557398132764744,-0.0247589912178326,-0.3090934401118053,-0.1647682615202035,0.0025822962717889,-0.0596830548553759,-0.1382094881712493,-0.0788183902884915,-0.1037742342514441,13887,0.9831147907946455
-0.3564020888090907,-0.024966322019503,-0.385604818449824,-0.138824468337248,-0.1159620021784489,-0.059720373344106,-0.3339705445628565,-0.1049200213251464,0.0877519231390616,14762,0.9831147907946455
-0.365892635264358,-0.0247516963987907,-0.3904843042584846,-0.0998210178345532,-0.0613107884896974,-0.0590955976529596,-0.4942259191579467,-0.1142642623240675,0.1439998282237894,15045,0.9831147907946455
-0.1313545521550711,-0.0275221268024102,-0.096491205001964,-0.2735579148744663,-0.7232153235643736,-0.0629056671081784,-0.2456861465823278,-0.1356168292984804,0.4723886859506266,15251,0.9831147907946455
-0.3692633542745518,-0.0249749038273328,-0.5374761174528134,-0.152202896708632,-0.0133496036050347,-0.0584787098966028,-0.334930157584384,-0.117161001035654,0.2682349578923592,15699,0.9831147907946455
-0.286820805412298,-0.0281623966252678,-0.3874553836903937,-0.2938754161015676,-0.6518810801171376,-0.0627136343034656,-0.6967042667002463,-0.1612677372384754,0.6572409561821241,4559,0.9826999109913904
0.0476353238334538,-0.0273956933267856,0.025697217991569,-0.2905182654817729,-0.6971726632582398,-0.062795427601737,-0.3157378971538342,-0.0244018213015021,-0.6679337602826366,1478,0.982331912980076
