orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,label,survey
4.09578199,1.64,1.704,405.5,851.0,124.3,4791.0,0.742,4.577,1,Kepler
2.248063246,30.38,5.1297,631.7,1566.0,1421.38,6325.0,1.112,4.409,0,Kepler
369.819993,4.25,20.232,1599.0,201.0,0.38,4806.0,0.839,4.495,0,Kepler
0.697996932,28.06,4.3323,9094.6,1604.0,1560.69,5176.0,0.695,4.636,0,Kepler
5.71483873,1.26,2.748,286.2,842.0,118.73,5193.0,0.755,4.535,0,Kepler
3.88258905,0.78,2.741,57.8,1158.0,426.41,5780.0,1.0,4.438,0,Kepler
68.8861017,1.47,5.925,143.9,501.0,14.91,5753.0,1.222,4.2,1,Kepler
0.566801325,1.07,4.176,92.1,2383.0,7585.82,6273.0,1.021,4.454,0,Kepler
2.9322509,1.33,2.931,181.2,1312.0,700.81,6106.0,0.966,4.487,0,Kepler
4.38536428,1.15,2.5126,198.5,935.0,180.22,5191.0,0.826,4.53,1,Kepler
273.223848,8.0,3.787,469.9,452.0,9.87,5079.0,3.792,3.439,0,Kepler
22.342964828,9.99,6.66405,5612.8,785.0,89.61,6181.0,1.331,4.234,1,Kepler
8.360616221,40.35,7.5385,28066.0,1263.0,601.6,5463.0,2.445,3.79,0,Kepler
0.9714298,8.81333,1.251,1650.0,1981.0,2557.87,6495.0,2.18,3.89,0,TESS
1.78752921,5.86,5.315,62.9,3868.0,52997.01,6286.0,7.342,3.056,0,Kepler
15.9865412,7.52088,1.636,1451.0,761.0,55.7095,6429.0,1.28,4.34,0,TESS
1.287622419,0.87,0.821,36.5,1957.0,3450.59,6170.0,1.274,4.308,0,Kepler
39.818832,2.23,10.757,199.1,650.0,42.32,5710.0,1.524,4.073,1,Kepler
9.94602357,3.12,3.3862,994.5,807.0,100.34,5344.0,1.013,4.365,1,Kepler
1.891268461,399.93,8.24958,641910.0,5047.0,153163.32,11287.0,4.662,3.642,0,Kepler
150.2412582,4.6,10.849,2378.5,327.0,2.72,5604.0,0.943,4.451,1,Kepler
3.74786694,0.89,3.632,80.9,1176.0,451.72,5957.0,0.971,4.498,0,Kepler
250.4858,2.1,12.72,674.6,246.0,0.86,5377.0,0.814,4.581,0,Kepler
8.78458274,2.6,6.459,210.8,1149.0,411.55,5927.0,1.691,4.046,0,Kepler
8.2616616,3.30997,2.862,1343.0,794.0,66.2634,5281.0,0.86,4.53,1,TESS
1.5163046,10.3854,3.619,1180.0,2623.0,7863.45,6529.0,3.11,3.58,0,TESS
3.69298623,1.74,1.7744,763.3,745.0,72.66,4402.0,0.572,4.682,1,Kepler
376.554588,2.0,3.182,481.0,247.0,0.88,5926.0,0.913,4.519,0,Kepler
1.673662758,23.42,2.3135,316.4,1729.0,2106.67,6444.0,1.053,4.433,0,Kepler
12.2265595,2.6014766,2.1904379,1206.3693293,575.3502049,25.8970378,4803.0,0.737189,4.52079,1,TESS
33.93373447,7.34,14.561,8503.7,430.0,8.11,5040.0,0.705,4.628,0,Kepler
391.33068,1.68,12.37,277.2,274.0,1.33,6428.0,0.977,4.457,0,Kepler
1.867281146,31.18,7.495,701.1,1561.0,1405.94,6117.0,1.025,4.457,0,Kepler
6.96704926,6.14,3.73,213.7,1774.0,2341.58,6303.0,3.53,3.595,1,Kepler
9.6799809,14.6081,1.806,15870.0,658.0,31.1433,5980.0,1.11,4.39,0,TESS
1.4303699,13.1874503,1.6165994,18960.7122944,1525.9048089,1281.2408254,5600.0,0.890774,4.48851,1,TESS
386.39833,2.2,8.519,748.0,214.0,0.49,5284.0,0.812,4.523,0,Kepler
7.053527145,2.16,2.3982,1480.1,547.0,21.17,4041.0,0.567,4.697,1,Kepler
21.0153047,3.78219,4.315,2072.0,641.0,28.033,5149.6,0.77,4.6,1,TESS
8.589562,15.95,9.885,245.4,891.0,148.61,5766.0,0.945,4.404,0,Kepler
10.21418792,2.29,5.8201,303.8,957.0,198.34,5843.0,1.332,4.25,1,Kepler
13.6917833,1.12,4.198,145.4,770.0,83.37,5906.0,0.931,4.433,0,Kepler
2.363311,2.74038,3.294,1121.0,1697.0,1379.02,5420.0,1.04,4.38,0,TESS
1.3666563,15.437,1.967,21070.0,1676.0,1310.22,5790.4,1.02,4.44,1,TESS
3.521050679,256.2,3.5323,4879.8,2434.0,8306.9,5149.0,6.619,3.109,0,Kepler
1.33254428,0.93,3.122,162.2,1427.0,981.02,5460.0,0.734,4.543,0,Kepler
3.003879547,10.96,3.2848,8538.0,1438.0,1011.87,6311.0,1.172,4.398,1,Kepler
0.544962596,1.03,1.085,247.9,1719.0,2074.18,5257.0,0.639,4.675,0,Kepler
4.9427985,15.3204961,3.3153828,11349.4838661,1187.1118303,469.3399619,5550.93,1.32567,4.18442,1,TESS
1.6563738,1.42047,1.741,246.0,1566.0,1000.88,5614.1,1.02,4.34,0,TESS
8.18739443,1.92,3.0472,517.6,782.0,88.36,5251.0,0.849,4.494,1,Kepler
2.8641388,15.5276,2.417,9597.0,1373.0,591.067,6082.0,1.53,4.13,1,TESS
6.1461734,6.96236,5.386,1034.0,2649.0,8177.52,6153.0,1.5,4.15,0,TESS
7.4413445,43.5,2.8754,2234.0,1136.0,393.59,6540.0,1.183,4.321,0,Kepler
3.314947362,3.94,1.8007,1398.2,1155.0,421.03,5609.0,0.944,4.481,1,Kepler
5.33905606,1.9,1.6415,755.5,817.0,105.25,5057.0,0.704,4.573,1,Kepler
51.53997972,5.51,6.3994,3644.3,450.0,9.67,5427.0,0.929,4.463,1,Kepler
7.20281185,3.06,2.8305,1832.6,794.0,93.79,5388.0,0.717,4.56,1,Kepler
30.6261927,1.55,1.107,162.6,655.0,43.61,5860.0,1.197,4.244,0,Kepler
19.1047019,2.9365337,3.2516728,1906.0596245,435.7259839,8.5187297,4195.0,0.675093,4.59888,1,TESS
16.00460392,2.24,3.9475,831.9,583.0,27.41,5180.0,0.769,4.597,1,Kepler
5.0569708,5.09264,3.401,795.0,1227.0,376.594,5818.9,1.8,3.95,1,TESS
18.6922101,18.1458,7.765,11126.0,1141.0,282.175,6277.0,1.65,4.09,0,TESS
29.2214959,1.81,4.014,394.0,539.0,20.03,5576.0,0.829,4.503,1,Kepler
12.5482879,13.0082,3.396,49260.0,481.0,8.90508,3923.0,0.59,4.66,0,TESS
2.1223673,12.9814367,1.5855365,8056.3340252,1596.3943994,1534.9059997,6079.0,1.19653,4.33912,1,TESS
371.17573,4.07,8.2,133.7,610.0,32.64,9030.0,3.218,3.822,0,Kepler
